"","ID","trial","environment","mem","C_QuestionNum","SizeZ","CurZ"
"1",102,2,1,0,396,1.57121301729857,0.949081310442267
"2",102,3,1,0,113,0.833858563178812,-0.270072114554565
"3",102,4,1,0,620,1.15163805643151,0.647407357365245
"4",102,5,1,0,18,0.949820021636368,0.29431243388229
"5",102,7,1,0,578,1.23445660435618,-0.577594050111991
"6",102,9,1,1,833,1.27736878261015,0.495581605676439
"7",102,11,1,1,829,1.06196888353042,0.758767317869933
"8",102,12,1,0,413,0.855546471395603,-1.50747505793667
"9",102,13,1,0,190,1.39271404974817,1.22600053225742
"10",102,14,1,1,331,0.903647153547843,-1.23497611155306
"11",102,15,1,1,376,1.61013937002259,1.44900090782496
"12",102,16,1,1,761,0.812403025407201,-0.719522510550612
"13",102,17,1,1,212,0.560479037581048,-0.479350569452951
"14",102,18,1,1,185,0.857741081155636,-1.49596232958546
"15",102,19,1,1,661,0.355373391302253,-0.133720955752815
"16",102,20,1,1,526,0.78540502220241,0.386118479133508
"17",102,21,1,1,734,1.45071603200361,0.469392364045395
"18",102,22,1,1,850,1.90712601158808,0.63753930449278
"19",102,23,0,0,521,0.207680457608464,0.603206315245575
"20",102,24,0,1,322,0.773950019886319,0.284220107080911
"21",102,25,0,1,571,0.869798525366637,-0.0447424916022819
"22",102,28,0,1,714,0.715048415189606,-0.342764289054917
"23",102,29,0,1,739,0.389394145739148,1.83002253655907
"24",102,32,0,1,901,0.1402327843168,-0.439794641713912
"25",102,33,0,1,275,-0.51046470637642,0.145852843977891
"26",102,34,0,0,493,0.871046440720381,-1.31172638219799
"27",102,35,0,0,924,-0.117044330061275,-0.651182195721019
"28",102,36,0,1,819,0.0686540808886058,1.89434846231738
"29",102,37,0,1,67,0.0906259974272833,-0.746479863511106
"30",102,38,0,1,115,0.402845812621229,0.538873570450113
"31",102,40,0,0,877,-0.414917421843558,1.58744665491158
"32",102,42,0,0,13,-0.251345841062475,-0.0504355990286966
"33",102,43,0,0,812,-0.178751592725716,-1.34671837967795
"34",102,44,0,1,642,-0.0709747377261629,1.25611259352763
"35",102,45,0,1,987,0.0177907723325602,-0.0367174248410052
"36",102,46,0,1,14,-0.0216605654713167,-0.866743945094127
"37",102,47,0,1,801,-0.406285290120763,-0.331675105893887
"38",102,48,0,1,250,-0.488036655260167,-0.436329271976094
"39",102,52,1,1,979,-0.213435033247013,-0.916196346420902
"40",102,53,1,1,380,0.232311724797533,-0.980392320814043
"41",102,54,1,1,581,0.221132124490545,-0.635010470277842
"42",102,55,1,0,971,0.826437023955827,-0.0706059828162581
"43",102,56,1,0,160,0.159175278755355,-0.719982463198734
"44",102,57,1,0,221,-0.0607418318254627,-1.10267036727717
